<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
Сбербанк;W;09/09/19;000000;233;187207030
Сбербанк;W;16/09/19;000000;232;201025950
Сбербанк;W;23/09/19;000000;228,05;160386850
Сбербанк;W;30/09/19;000000;222,76;173139040
Сбербанк;W;07/10/19;000000;230,31;180103460
Сбербанк;W;14/10/19;000000;235,55;193343400
Сбербанк;W;21/10/19;000000;240;193585600
Сбербанк;W;28/10/19;000000;236,4;223686730
Сбербанк;W;04/11/19;000000;240,17;152360700
Сбербанк;W;11/11/19;000000;240;159135800
Сбербанк;W;18/11/19;000000;238,13;148422890
Сбербанк;W;25/11/19;000000;233,98;143925930
Сбербанк;W;02/12/19;000000;235,14;135714910
Сбербанк;W;09/12/19;000000;241,21;181379200
Сбербанк;W;16/12/19;000000;244,71;208140700
Сбербанк;W;23/12/19;000000;252,06;97951950
Сбербанк;W;30/12/19;000000;255;79009200
Сбербанк;W;06/01/20;000000;258,19;120345950
Сбербанк;W;13/01/20;000000;262,5;191503600
Сбербанк;W;20/01/20;000000;265,49;180106560
Сбербанк;W;27/01/20;000000;252,2;219329570
Сбербанк;W;03/02/20;000000;254,3;247114000
Сбербанк;W;10/02/20;000000;253,89;203929560
